"('fpu design', 'op_mul')","[['fpu design', 'op_mul']]"
"('stored', 'two')","[['stored', 'two']]"
"('registers',)",[['registers']]
"('qnan',)",[['qnan']]
"('op_div', 'op_div op_div op_div')","[['op_div', 'op_div op_div op_div']]"
"('approximate representation', 'order')","[['approximate representation', 'order']]"
"('consuming', 'accounted', 'controversial')","[['accounted', 'consuming', 'controversial']]"
"('raised', 'significand', 'area efficiency,', 'refer')","[['raised', 'area efficiency,', 'significand'], ['raised', 'area efficiency,', 'refer'], ['significand', 'area efficiency,', 'refer']]"
"('ud', 'underflow ud =')","[['ud', 'underflow ud =']]"
"('multiplicative', 'ieee754 inexact', 'correct')","[['ieee754 inexact', 'multiplicative', 'correct']]"
"('fraca fracl =', 'fracg', 'expg')","[['fraca fracl =', 'fracg', 'expg']]"
"('large',)",[['large']]
"('x sc', 'bx ax =', 'x sc =', 'bx ax = fraca', 'bx ax', 'calculate ax', 'fraca x sc =', 'fraca x', 'fraca x sc', 'output')","[['bx ax =', 'bx ax', 'output', 'x sc', 'x sc ='], ['bx ax =', 'bx ax', 'bx ax = fraca'], ['bx ax =', 'bx ax', 'output', 'calculate ax'], ['bx ax =', 'bx ax', 'output', 'fraca x', 'fraca x sc ='], ['bx ax =', 'bx ax', 'output', 'fraca x', 'fraca x sc'], ['x sc =', 'x sc', 'output', 'bx ax', 'bx ax = fraca'], ['x sc =', 'x sc', 'output', 'calculate ax'], ['x sc =', 'x sc', 'output', 'fraca x', 'fraca x sc ='], ['x sc =', 'x sc', 'output', 'fraca x', 'fraca x sc'], ['bx ax = fraca', 'bx ax', 'output', 'calculate ax'], ['bx ax = fraca', 'bx ax', 'output', 'fraca x', 'fraca x sc ='], ['bx ax = fraca', 'bx ax', 'output', 'fraca x', 'fraca x sc'], ['calculate ax', 'output', 'fraca x', 'fraca x sc ='], ['calculate ax', 'output', 'fraca x', 'fraca x sc'], ['fraca x sc =', 'fraca x', 'fraca x sc']]"
"('isi fpu design', 'ieee-754', 'ieee')","[['isi fpu design', 'ieee-754', 'ieee']]"
"('compared', 'controllers', 'result', 'need', 'cases', 'special')","[['compared', 'special', 'result', 'controllers'], ['compared', 'special', 'cases', 'need'], ['controllers', 'result', 'special', 'cases', 'need']]"
